network_code,receiver_code,receiver_type,receiver_latitude,receiver_longitude,receiver_elevation_m,p_arrival_sample,p_status,p_weight,p_travel_sec,s_arrival_sample,s_status,s_weight,source_id,source_origin_time,source_origin_uncertainty_sec,source_latitude,source_longitude,source_error_sec,source_gap_deg,source_horizontal_uncertainty_km,source_depth_km,source_depth_uncertainty_km,source_magnitude,source_magnitude_type,source_magnitude_author,source_mechanism_strike_dip_rake,source_distance_deg,source_distance_km,back_azimuth_deg,snr_db,coda_end_sample,trace_start_time,trace_category,trace_name
HV,AHUD,EH,19.371567,-155.263462,1051.0,390.0,autopicker,0.78,1.6299999952316284,601.0,autopicker,0.66,hv70464962,2018-07-23 13:40:34.960000,,19.414,-155.29466,,,,0.12,,2.11,ml,,,0.05147,5.73,325.0,[21.5        16.39999962 25.89999962],[[1623.]],2018-07-23 13:40:32.690000,earthquake_local,AHUD.HV_20180723134031_EV
PB,B057,EH,38.0273,-122.5655,14.4,700.0,manual,0.63,6.639999866485596,1169.0,manual,0.0,nc72526151,2015-09-17 16:47:11.630000,,38.32983,-122.41317,,,,8.95,,1.2,md,,,0.3261,36.14,21.6,[21.79999924 22.70000076 18.79999924],[[1768.]],2015-09-17 16:47:11.270000,earthquake_local,B057.PB_20150917164710_EV
HT,AGG,HH,39.0211,22.336,625.0,700.0,manual,0.5,11.84000015258789,1833.0,autopicker,0.76,14554134,2010-03-19 19:58:38.96,0.7,38.4196,22.0626,0.8647,15.482,1.96698,8.45,,3.6,mb,,,0.64,70.88,19.1,[53.09999847 46.59999847 48.70000076],[[5195.]],2010-03-19 19:58:43.800000,earthquake_local,AGG.HT_20100319195842_EV
KR,ARLS,BH,41.85444,74.32889,1526.0,400.0,manual,0.5,16.709999084472656,1600.0,manual,0.5,603287261,2013-07-29 23:36:07.59,0.8,42.6813,74.8066,1.0095,52.513,2.44968,11.94,,3.3,mb,,,0.9,99.94,203.8,[31.79999924 32.40000153 36.70000076],[[5602.]],2013-07-29 23:36:20.300000,earthquake_local,ARLS.KR_20130729233619_EV
NN,BAB,HN,39.60133,-120.104,2664.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-04-21 12:03:00,noise,BAB.NN_201804211203_NO
HV,AIND,HH,19.372067,-155.457228,1524.0,700.0,manual,0.64,3.559999942779541,996.0,manual,0.55,hv61186521,2016-02-25 04:59:25.190000,,19.413,-155.31383,,,,4.89,,1.63,ml,,,0.1414,15.73,73.2,[24.         23.39999962 23.79999924],[[2584.]],2016-02-25 04:59:21.750000,earthquake_local,AIND.HV_20160225045920_EV
PB,B045,EH,40.436,-123.9965,29.4,500.0,manual,0.0,16.3799991607666,1817.0,autopicker,0.88,nc72817926,2017-06-18 16:21:14.450000,,39.81983,-123.31,,,,7.17,,1.69,md,,,0.8098,90.03,139.8,[15.89999962 16.         13.60000038],[[3199.]],2017-06-18 16:21:25.830000,earthquake_local,B045.PB_20170618162124_EV
AV,AKRB,BH,54.1292,-166.0708,334.0,600.0,manual,0.75,12.055999755859377,1500.9,manual,0.62,ak0115iia0ov,2011-04-30 03:00:33.917000,,53.5323,-166.1881,0.38,,0.0,26.7,0.8,2.5,ml,,,0.602,66.88,186.67,[42.90000153 32.59999847 33.29999924],[[2693.]],2011-04-30 03:00:39.973000,earthquake_local,AKRB.AV_20110430030038_EV
PR,AOPR,BH,18.346645,-66.753975,355.1,800.0,manual,0.5,12.979999542236328,1787.0,manual,0.0,pr2017256000,2017-09-13 02:17:52.880000,,19.091,-66.5123,,,,21.0,,3.1,md,,,0.7818,86.78,18.0,[39.09999847 35.70000076 36.5       ],[[3050.]],2017-09-13 02:17:57.860000,earthquake_local,AOPR.PR_20170913021757_EV
GM,AA12,HN,39.53523,-121.4669,385.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-08-24 07:41:00,noise,AA12.GM_201708240741_NO
HP,AMT,HH,37.5324,21.7089,482.0,400.0,manual,0.5,24.61000061035156,2817.0,autopicker,0.6,606635563,2012-10-09 06:25:25.49,0.8,38.8913,21.7393,1.4234,24.875,2.57035,8.7,,3.9,mb,,,1.36,150.86,181.0,[43.20000076 38.90000153 37.        ],[[5900.]],2012-10-09 06:25:46.100000,earthquake_local,AMT.HP_20121009062545_EV
AV,AU22,BH,59.3702,-153.3573,105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-09-30 00:36:00,noise,AU22.AV_201809300036_NO
CI,ADO,HH,34.55046,-117.43391,908.0,800.0,manual,0.77,16.3700008392334,2013.0,manual,0.55,ci11009093,2011-09-20 02:27:00.740000,,35.1321667,-118.2458333,0.17,31.0,0.21,4.76,,2.85,ml,CI,,0.8847,98.2,310.9,[28.70000076 26.79999924 22.70000076],[[2812.]],2011-09-20 02:27:09.110000,earthquake_local,ADO.CI_20110920022709_EV
CI,ALP,HH,34.68708,-118.29946,753.0,897.0,autopicker,0.87,5.639999866485596,1311.0,autopicker,0.63,ci37302504,2015-01-06 05:42:40.790000,,34.61467,-118.64417,,,,8.3,,1.43,ml,,,0.2932,32.61,255.6,[9.         9.30000019 3.        ],[[3199.]],2015-01-06 05:42:37.460000,earthquake_local,ALP.CI_20150106054236_EV
